Mean_Intensity,Std_Intensity,Entropy
0.3029764,0.2342475,553.9912
0.2821428,0.21794762,523.9653
0.29637957,0.21418779,548.9739
0.2964654,0.21245298,549.42834
0.28918296,0.20942064,537.70056
0.29779425,0.21529475,551.2782
0.383957,0.13780001,701.0624
0.39064217,0.14328392,711.10455
0.40345535,0.15234306,730.0246
0.38014942,0.13826321,694.76715
0.38430426,0.14984876,700.35876
0.37353766,0.13658825,684.5091
0.36637697,0.13336734,673.55054
0.36988398,0.1340804,679.0429
0.36676508,0.13559279,674.0363
0.38209152,0.13947792,697.78546
0.7952555,0.24842086,1287.4873
0.81178784,0.21752521,1314.9106
0.66510797,0.28391555,1102.2903
0.48459342,0.27766195,832.4158
0.509586,0.17069757,889.4644
0.41256955,0.22582534,732.8573
0.336962,0.2030068,616.9193
0.4017304,0.23005891,714.3565
0.39332873,0.22716284,701.8262
0.3826099,0.22751017,684.4026
0.4032335,0.23013306,717.1972
0.41161135,0.23136884,730.5311
0.40575978,0.22785755,722.1908
0.39050382,0.22384387,698.138
0.3957747,0.2210729,707.052
0.21671891,0.17015144,413.79794
0.18295385,0.15212084,355.6809
0.17286347,0.14435627,338.57208
0.35558957,0.25178188,636.7022
0.15461068,0.13501023,304.97986
0.30974042,0.22793856,563.04193
0.3387571,0.23748039,610.123
0.3486165,0.22496794,628.4553
0.19966418,0.15418777,386.35336
0.23746395,0.20091844,445.56012
0.31904706,0.2313577,581.1987
0.32268733,0.22861336,587.6204
0.33848575,0.22998497,613.4217
0.33127412,0.23468956,600.6979
0.33410388,0.23555845,605.3151
0.33191562,0.230789,602.3305
0.32930294,0.2255505,598.8387
0.3234149,0.23103417,588.1275
0.5582148,0.24238162,953.62225
0.582644,0.2422228,989.7675
0.5682871,0.23592903,969.53723
